name,longitude,latitude,city,country,description,imageUrl,hotelWebsite,letJackHelp
The Joule Dallas,-96.79840171,32.78060805,Dallas,USA,"DallasÕ most unique stay with a standout pool and prime access to Highland Park. Trendy, chic, and full of character.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/50336476-f36b-4325-889c-838856bef9ff/1030176.jpg?format=750w,thejouledallas.com,https://www.jsltravelagent.com/clientintake
Four Seasons Seattle,-122.3391602,47.6073757,Seattle,USA,Classic Four Seasons luxury with a cozy twist in the rainy city of Seattle. Expect everything that defines this iconic brand.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/d2a19256-3909-48ba-9340-d7312525012c/224931680.jpg?format=750w,fourseasons.com/seattle,https://www.jsltravelagent.com/clientintake
Four Seasons Resort Rancho Encantado,-105.9221556,35.79959455,Santa Fe,USA,"A peaceful New Mexico retreat with ranch vibes, mostly catering to an older crowd. Calm, relaxing, and beautifully scenic.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/5577c9e1-d4a3-4ab7-bff5-95bec752c18e/cq5dam.web.press.722.keepaspectratio.jpeg?format=1000w,fourseasons.com/santafe,https://www.jsltravelagent.com/clientintake
Blackberry Mountain,-82.2086688,37.5793118,Walland,USA,"Fast becoming the talk of the luxury world with its stunning Smoky Mountain views. Popular, peaceful, and perfectly luxurious.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/85486d91-9707-48f6-a836-a34a444cec6e/19BLACKBERRY-slide-N0RN-superJumbo.jpg?format=750w,blackberrymountain.com,https://www.jsltravelagent.com/clientintake
"The Mark, New York City",-73.96325936,40.77532995,New York City,USA,"An icon in New York City, home to Met Gala celebrities and a sleek black-and-white aesthetic. A classic in every way.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/d5e19e4f-9918-4693-a4f2-463a44705b6b/The-Mark---Lobby-VIew-1-New---Francesco-Tonelli.jpeg?format=1000w,themarkhotel.com,https://www.jsltravelagent.com/clientintake
"The Palace, New York City",-73.944628,40.7254611,New York City,USA,Midtown luxury thatÕs been featured in Gossip GirlÑclassic NYC glamour. Always a solid choice for a grand stay.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/3c737de6-b354-4976-8fa1-8ea203e192eb/Lotte-New-York-Palace_9877.jpg?format=750w,newyorkpalace.com,https://www.jsltravelagent.com/clientintake
"1 Hotel Central Park, New York City",-73.97650717,40.7647093,New York City,USA,"Cozy, yet elegant with stunning views of Central Park. A smaller, more intimate vibe thatÕs big on charm.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/f5564c39-3082-400d-8a5a-f9bf5334e0d6/53049771.jpg?format=750w,1hotels.com/central-park,https://www.jsltravelagent.com/clientintake
"Soho Grand Hotel, New York City",-74.0043561,40.7220039,New York City,USA,"Golden, luxe, and perfectly positioned in the heart of the action. The nightlux scene right by CarboneÑcanÕt beat that.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/a2706c05-6ec8-43eb-a798-561e80209913/31456556.jpg?format=750w,sohogrand.com,https://www.jsltravelagent.com/clientintake
"The Beekman, New York City",-73.96119912,40.76157565,New York City,USA,"The essence of New York City sophistication and luxury. Known for its history, and letÕs not forget Anna DelveyÕs infamous stay.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/cd1d6a63-7e4c-4a6c-94e7-ff80afbd8ee0/18205c758b1a.jpg?format=750w,thebeekman.com,https://www.jsltravelagent.com/clientintake
"Baccarat Hotel, New York City",-73.97736389,40.7608074,New York City,USA,"Dripping in diamonds and Baccarat jewels, this is next-level luxury. A hotel that dazzles in every way.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/0999f764-df13-4fd8-b726-e9f15451e482/baccarat_hotel_grand_salon_2-2015.jpeg?format=1500w,baccarathotels.com,https://www.jsltravelagent.com/clientintake
"Times Square Edition, New York City",-74.0060152,40.7127281,New York City,USA,"Step into a sleek, black-and-white world high above the chaos of Times Square. An ultra-modern escape from the neon lights below.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/5220a119-a79c-44ae-8821-067d20ec68ec/437822270.jpg?format=750w,editionhotels.com/new-york,https://www.jsltravelagent.com/clientintake
"Gurney's, Montauk, New York",-71.99323058,41.0152047,Montauk,USA,"Chic Hamptons vibes meet surf lodge cool. The ultimate spot for a stylish beach escape, a little slice of Montauk heaven.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/bb5bb404-f6d4-42af-9f49-b54b904184fd/Gurney%E2%80%99s+Montauk_Beach+Club+Cabanas.jpeg?format=1000w,gurneysresorts.com/montauk,https://www.jsltravelagent.com/clientintake
"The Roundtree, Amagansett",-72.1437716,40.9736557,Amagansett,USA,The closest you can have to a Hamptons house without owning one. This timelessly luxe earthy property and itÕs service makes you feel right at home. Amenities galore.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/f01d80cd-ba54-4097-b049-6b4d18607038/exterior-backyard-beach-house-rountree-amagansett-BEACHHSEAMGNST0622-2b5020d3eb19474cb418079dbf3ac0fb.jpg?format=750w,theroundtreehotels.com,https://www.jsltravelagent.com/clientintake
"Sunset Beach, Shelter Island",-72.36564256,41.07354775,Shelter Island,USA,"Yellow-and-white striped perfection right on Shelter IslandÕs quiet beach. Cute, lively, and perfectly positioned for beachside fun.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/001bded3-7ca0-4a55-bff1-3ef30b2d0424/SunsetBeach_1.jpg?format=750w,sunsetbeachli.com,https://www.jsltravelagent.com/clientintake
"The Pridwin, Shelter Island",-72.37533534,41.06964845,Shelter Island,USA,"A relaxed counterpart to Sunset Beach with tennis courts, docks, and laid-back Shelter Island charm.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/73851a87-598f-42df-b6c6-8ee1134480f5/the-pridwin-hotel.jpg?format=750w,pridwin.com,https://www.jsltravelagent.com/clientintake
"CrowÕs Nest, Montauk",-71.91305136,41.0471991,Montauk,USA,"A hotspot for wealthy New Yorkers, this adorable hideaway offers stunning villas but sits far out in Montauk. Cute and secluded with a luxe edge.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/7c9aa05f-be9a-4ace-a879-41b77761b19e/189bf5b7.jpeg?format=1000w,crowsnestmontauk.com,https://www.jsltravelagent.com/clientintake
"1 Hotel Brooklyn Bridge, Brooklyn",-73.99555185,40.7022571,Brooklyn,USA,"A luxurious escape from the city with incredible views of the Brooklyn Bridge. Spa amenities galore, perfect for a relaxing city break.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/f9bdec90-d9f5-4810-86f1-fd7cc4fce15c/53049771.jpg?format=750w,1hotels.com/brooklyn-bridge,https://www.jsltravelagent.com/clientintake
"Delamar Greenwich, Connecticut",-73.6284598,41.0264862,Greenwich,USA,"Coastal New England luxury right on the harbor with an amazing brunch spot. Classic, elegant, and perfect for a New England escape.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/1f5090f0-9602-4d6d-ae1c-364b191c6fa3/delamargreenwich-01-homepage-01-herouvp-01-hero-image-64135ef737125-64221566479fc.jpg?format=1000w,thedelamar.com/greenwich,https://www.jsltravelagent.com/clientintake
"Delamar Southport, Connecticut",-73.288343,41.1352221,Southport,USA,"Much like its Greenwich counterpart, this hotel brings the New England charmÑminus the water views but packed with coastal luxury.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/43dc66bf-3c1a-4cdf-b524-b18cd794275a/delamargreenwichharborhotel-ourhotel-ourstory-646b85e020671.jpeg?format=750w,thedelamar.com/southport,https://www.jsltravelagent.com/clientintake
"The Breakers, Palm Beach, Florida",-80.03380031,26.71372665,Palm Beach,USA,"The Palm Beach icon with endless amenitiesÑeverything from nail salons to dry cleaning, all right on the beach. A must-stay for anyone visiting.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/a0f5cedc-eff9-452f-ace2-259dcb0f8732/thebreakers_website_hero_new.jpg?format=1500w,thebreakers.com,https://www.jsltravelagent.com/clientintake
"Four Seasons Surf Club, Miami, Florida",-80.12116611,25.8773181,Miami,USA,Beachfront luxe with the signature Four Seasons touch. Known for its world-class service and stunning viewsÑtruly a standout in Miami.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/e207a5fe-b6c7-4465-bbb5-b13198f5a5dc/four-seasons-surf-club-1400x580.jpg?format=1500w,fourseasons.com/surfside,https://www.jsltravelagent.com/clientintake
"The Setai, Miami, Florida",-80.1282514,25.7955306,Miami,USA,An Asian-inspired luxury gem in Miami Beach. Known for its over-the-top concierge service and ultimate Miami vibes.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/e76a3223-1c1e-41af-be4b-8062936490f1/04b576bd-170408fb22a.jpg?format=1000w,thesetaihotel.com,https://www.jsltravelagent.com/clientintake
"Faena, Miami, Florida",-80.12313906,25.80737845,Miami,USA,"A vibrant, red-themed beauty just steps away from South Beach attractions. Luxe, artsy, and oh-so-cool.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/cd710303-5bd0-4f7d-915e-d1f25aaaa447/Faena_Pool_Close+Up.jpg?format=750w,faena.com/miami-beach,https://www.jsltravelagent.com/clientintake
"Kimpton EPIC Hotel, Miami, Florida",-80.18913,25.7706352,Miami,USA,A budget-friendly Miami stay with unbeatable views of the Intercoastal. Perfect for staycations and a laid-back Miami getaway.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/4c35457b-d463-4d47-a61d-9ac7475831c0/water-view-room-king.jpg?format=750w,epichotel.com,https://www.jsltravelagent.com/clientintake
"Montage Laguna Beach, California",-117.7571244,33.51472775,Laguna Beach,USA,"An oceanfront dream with fire pits, sweeping views, and top-notch staff. Everything about this place screams luxury and relaxation.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/7bfad2be-95c8-496b-960a-309bdc65dfb3/exterior-view.jpg?format=1000w,montagehotels.com/lagunabeach,https://www.jsltravelagent.com/clientintake
"Rosewood Miramar Beach, Montecito, California",-119.628391,34.4205946,Montecito,USA,"A favorite of Kourtney Kardashian, this California beach escape offers spacious rooms and laid-back luxury. The perfect spot for a relaxing getaway.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/7429a3df-9d18-49f8-8218-a9068831c86d/RosewoodMiramarBeach-2020-1.jpeg?format=1000w,rosewoodhotels.com/en/miramar-beach-montecito,https://www.jsltravelagent.com/clientintake
"Beverly Hills Hotel, Los Angeles, California",-118.4137967,34.08171455,Los Angeles,USA,An iconic LA experience. This legendary hotel offers a glimpse into Hollywood's golden age while delivering world-class luxury.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/4cad6749-6b42-49cf-9adc-76fca2882b47/325188952.jpg?format=750w,dorchestercollection.com/en/los-angeles/the-beverly-hills-hotel,https://www.jsltravelagent.com/clientintake
"Chateau Marmont, Los Angeles, California",-118.3684049,34.09824975,Los Angeles,USA,The pinnacle of LA luxury with jaw-dropping rooms and breathtaking views of the city. A stay here is pure opulence.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/79897614-0fd5-4d73-a429-e9299ede1ee1/exterior.jpg?format=1000w,chateaumarmont.com,https://www.jsltravelagent.com/clientintake
"Nobu Ryokan, Malibu, California",-118.6712245,34.0391107,Malibu,USA,"A beachfront Malibu gem, this luxurious stay offers everything you could want for a chic and serene escape.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/9db2b7ef-7dae-44c4-93b6-ef9762d22724/beachfront-room.jpg?format=750w,nobuhotels.com/malibu,https://www.jsltravelagent.com/clientintake
"Topping Rose House, Bridgehampton, New York",-72.30025919,40.93819745,Bridgehampton,USA,"Known for its central Bridgehampton location, this Hamptons gem boasts stunning lawns and impeccable service. A classic luxury retreat.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/2880a999-3cf1-40ac-8b70-26ea7b2d34cb/Topping_Rose_House016__P.jpg?format=750w,toppingrosehouse.com,https://www.jsltravelagent.com/clientintake
"The Loren, Bermuda",-64.7098401,32.3219355,Bermuda,Bermuda,"Owned by an awesome, down-to-earth female hotelier, this boutique hotel offers cute rooms and beachy luxury on BermudaÕs pink sands.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/e847e695-1d72-4290-a01a-6e9d8ae07233/the-loren-at-pink-beach.jpg?format=750w,thelorenhotel.com/bermuda,https://www.jsltravelagent.com/clientintake
Rosewood Bermuda,-81.273311,29.827847,Bermuda,Bermuda,"Another Bermuda treasure, this one features the signature Rosewood standards and a breathtaking pink sand beach. Perfect for a dreamy getaway.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/17949135-f02e-461d-b39e-90e38082488f/Screen_Shot_2018-08-20_at_4.03.49_PM.jpg?format=750w,rosewoodhotels.com/en/bermuda,https://www.jsltravelagent.com/clientintake
"Cliff House, Maine",-70.2211587,43.6328609,Cape Neddick,USA,"With jaw-dropping views, this Maine escape combines outdoorsy charm with luxurious relaxation. The ultimate nature retreat.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/a09e8ea1-6e2a-430b-ac4e-0c6da292b676/f4eedb7b.jpeg?format=750w,cliffhousemaine.com,https://www.jsltravelagent.com/clientintake
"Newport Harbor Hotel, Rhode Island",-71.31672447,41.48760675,Newport,USA,"Set on its own island with easy access to Newport town, this hotel is as convenient as it is luxurious. Perfect for exploring Newport.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/0101403d-cec1-4d60-8251-03bbf2c93303/Experiences_drone_property_shot.jpg?format=1000w,newporthotel.com,https://www.jsltravelagent.com/clientintake
"White Elephant, Nantucket, Massachusetts",-70.098951,41.287345,Nantucket,USA,"A classic, boutique Nantucket stay that oozes aesthetic charm. Known for its Palm Beach sister hotel, itÕs a New England favorite.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/24951536-12ba-467e-81bb-973150a54cd1/whiteelephantnantucket-home-hero.jpeg?format=750w,whiteelephantnantucket.com,https://www.jsltravelagent.com/clientintake
"Porches Inn at MASS MoCA, Massachusetts",-73.11603845,42.702948,North Adams,USA,"This cute, sleepy cottage hotel in the Berkshires offers incredible service and is just across from the MASS MoCA museum. A unique little gem.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/a75fdcf3-4632-49bf-9509-fe24b13b8219/Side-Angle-Shot1_ESCAPE-BROOKLYN.jpg?format=750w,porches.com,https://www.jsltravelagent.com/clientintake
"Stowe Mountain Resort, Vermont",-72.79368434,44.52976755,Stowe,USA,"A snowy retreat. Hit the slopes and come back to crepes, hot cocoa, spacious rooms, and a huge swimming pool and hot tub map.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/28ca7c9e-25cd-4b20-93d2-5283f3a48a7c/20190219_ST_schloff_020_Medium-Hero.jpeg?format=1000w,viceroyhotelsandresorts.com/stowe,https://www.jsltravelagent.com/clientintake
"The Pearl, Rosemary Beach, Florida",-86.015565,30.2802919,Rosemary Beach,USA,"Set on pristine white sands along Highway 38, this charming beachside hotel has great service, a lively bar, and a prime in-town location.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/5b8c3830-0580-496c-9bc1-16e4e42b4eda/the-pearl-hotel.jpg?format=750w,thepearlrb.com,https://www.jsltravelagent.com/clientintake
"Omni Amelia Island, Florida",-81.44342604,30.5547917,Amelia Island,USA,"Private, remote, and right on the beachÑthis luxurious resort offers pure relaxation on FloridaÕs coast.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/1a8e8863-b068-4e35-9bec-d37213a53dba/aipvil_1_2880x1870.jpeg?format=750w,omnihotels.com/hotels/amelia-island,https://www.jsltravelagent.com/clientintake
"Ritz-Carlton Fort Lauderdale, Florida",-80.10475177,26.1228857,Fort Lauderdale,USA,Classic Ritz-Carlton luxury on Fort Lauderdale Beach. Enough said.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/7686777c-78f5-4cf5-ad9e-d265a3a7aebf/mobile_slideshow_img_20150227173527.jpg?format=1000w,ritzcarlton.com/en/hotels/florida/fort-lauderdale,https://www.jsltravelagent.com/clientintake
"Ritz-Carlton Amelia Island, Florida",-81.44471468,30.59420645,Amelia Island,USA,"Another Florida favoriteÑluxury, seclusion, and unbeatable beach vibes.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/8adae33e-aeb1-4f4d-87d3-2afa3b998da5/resort-aerial-view.jpg?format=750w,ritzcarlton.com/en/hotels/florida/amelia-island,https://www.jsltravelagent.com/clientintake
"The Ocean Club, A Four Seasons Resort, Bahamas",-77.3063342,25.0833552,Paradise Island,USA,A Four Seasons masterpiece where youÕll never need to leave the resort. ItÕs everything you could want in a Bahamian escape.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/3e034822-b837-4803-a461-aaa5da9bd2d9/leonardo-3559427-161277759-676149.jpg?format=1000w,fourseasons.com/oceanclub,https://www.jsltravelagent.com/clientintake
"Eden Roc Cap Cana, Dominican Republic",-68.3830103,18.5044392,Punta Cana,Dominican Republic,A gated beachfront villa community where families and friends can relax in style. Expect stellar service and stunning ocean views.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/453a056f-f986-4147-89b9-5897fc16d3d1/175471343.jpg?format=1000w,edenroccapcana.com,https://www.jsltravelagent.com/clientintake
"Round Hill Hotel & Villas, Jamaica",-77.9217357,18.4724603,Montego Bay,Jamaica,"A hillside retreat in Jamaica where billionaires flock for privacy, great golf, and even better restaurants.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/a52c237b-7aba-45b5-a24e-954137e4316d/001504-01-Drone_2022_11_DJI_0387-at+Round+Hill+Hotel+and+Villas.jpg?format=1000w,roundhill.com,https://www.jsltravelagent.com/clientintake
"Casa de Campo, Dominican Republic",-68.9232404,18.4163009,La Romana,Dominican Republic,"A household name for villa rentals, this resort operates like its own cityÑbars, nightclubs, beaches, and every amenity imaginable.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/6cf24fa2-b602-429e-8878-79e325b9203d/Casa-de-Campo-Resort-%26-Villas__2018_36-Villa3.jpeg?format=1500w,casadecampo.com.do,https://www.jsltravelagent.com/clientintake
"Tryall Club, Jamaica",-77.9217357,18.4724603,Montego Bay,Jamaica,A luxurious villa community with top-notch golfing and water sports. Private staff and beachfront restaurants add to the magic.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/ec488cff-88fa-4621-a66e-65ed4c94eafd/The-Tryall-Club-Jamaica-1.jpg?format=750w,tryallclub.com,https://www.jsltravelagent.com/clientintake
Four Seasons Anguilla,-63.1452856,18.1777907,Anguilla,Anguilla,"A breathtaking beach retreat set above a pristine shoreline. Open-air restaurants, beach bars, and endless luxury await.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/5c1a82db-372c-4ec5-b111-511d4664bb80/four-seasons-resort-and.jpg?format=1000w,fourseasons.com/anguilla,https://www.jsltravelagent.com/clientintake
"Secret Bay, Dominica",-61.455588,15.575915,Portsmouth,Dominica,"Frequently ranked as the number one resort in travel magazines, this remote hideaway boasts stunning villas perched above deep blue waters.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/53a4fb5b-2338-4a77-9f78-72978420fa54/Secret-Bay-Overhead-Edited-2-6-20-Larger.jpeg?format=1000w,secretbay.dm,https://www.jsltravelagent.com/clientintake
"Sugar Beach, St. Lucia",-61.06170626,13.8279173,Soufrire,Saint Lucia,Family-friendly luxury with gorgeous views of the iconic Petite Piton. Enjoy a laid-back restaurant by the water and take in the magic of St. Lucia.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/0f3dd4c0-da5f-4105-8ad2-1a67a83642b9/01911ea1059c1e03be39a93379c6409e.jpg?format=1000w,viceroyhotelsandresorts.com/sugar-beach,https://www.jsltravelagent.com/clientintake
"Firefly Sunset Resort, Bahamas",-76.9594379,26.5407116,Abaco Islands,Bahamas,"Known for its spring break vibes, this small resort offers golf carts, a close-knit community, and endless fun in the sun.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/bbc05909-0250-42fa-a953-abf1280fe1ea/a80e801b-5fc5-41fe-b43b-29b8485b53a7-abac_firefly_sunset_resort_aerial2.jpg?format=1000w,fireflysunsetresort.com,https://www.jsltravelagent.com/clientintake
"Oil Nut Bay, British Virgin Islands",-64.330423,18.5028614,Virgin Gorda,British Virgin Islands,"A billionaireÕs paradise with sleek villas and clean, modern designs. Endless views and luxurious perfection await.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/e7f323b4-5f57-49e6-a650-9091122e6c05/Penthouse-10-1536x1150.jpg?format=750w,oilnutbay.com,https://www.jsltravelagent.com/clientintake
"The Dunmore, Harbour Island",-76.6328641,25.5021844,Harbour Island,Bahamas,"A preppy classic with light blue hues, this Harbour Island spot is the place to see and be seen for dinner.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/42d2e403-efb5-46b9-b3d4-a93ae0218790/drone.jpg?format=1000w,dunmorebeach.com,https://www.jsltravelagent.com/clientintake
"Jumby Bay Island, Antigua",-61.7605218,17.1540949,Jumby Bay,Antigua and Barbuda,"A private island paradise owned by the Oetker Collection, with pristine beaches, private villas, and world-class service. The ultimate tropical escape.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/62cdfd3a-bd4f-4181-9419-0fd7d752acde/329_1.jpg?format=750w,jumbybayresort.com,https://www.jsltravelagent.com/clientintake
"Pink Sands, Harbour Island",-76.6315895,25.4873731,Harbour Island,Bahamas,"A beachfront gem with lovely beach bars, golf carts, and charming villas. The perfect place to unwind in paradise.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/42d2e403-efb5-46b9-b3d4-a93ae0218790/drone.jpg?format=1000w,pinksandsresort.com,https://www.jsltravelagent.com/clientintake
"Bahama House, Harbour Island",-76.6307296,25.5014209,Harbour Island,Bahamas,"A boutique experience resort with personalized concierge service, a private pool, and only a few intimate rooms. Pure relaxation meets luxury.",https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/4fe68a7b-9b4f-4d9c-b1a3-f2b0236971d2/ACF_6900-Edit.jpeg?format=1500w,bahamahouse.com,https://www.jsltravelagent.com/clientintake
"Mustique Island, St. Vincent & the Grenadines",-61.17989,12.88681,Saint Vincent,Saint Vincent and the Grenadines,Where billionaires retreat from millionairesÑthis private island offers jaw-dropping luxury and endless serenity.,https://images.squarespace-cdn.com/content/v1/6548250d80354a7fbf64348a/1a9baf54-d8af-48c3-b87e-3f3b7c175513/header-britannia-bay-mustique-MUSTIQUETG0422-bb46afd839dd44eebd4f222d2f7dc7d7.jpg?format=750w,mustique-island.com,https://www.jsltravelagent.com/clientintake
